bike_number,rider_name,class,season,home_country,motorcycle,team,races_participated,wins,podium,pole,fastest_lap,points,placed,world_championships
1,Jorge Martin,Moto3,2015,Spain,Mahindra,Mapfre Team Mahindra,18,0,0,0,0,45,17,0
1,Jorge Martin,Moto3,2016,Spain,Mahindra,Pull & Bear Aspar Mahindra Team,16,0,1,0,0,72,16,0
1,Jorge Martin,Moto3,2017,Spain,Honda,Del Conca Gresini Moto3,16,1,9,9,2,196,4,0
1,Jorge Martin,Moto3,2018,Spain,Honda,Del Conca Gresini Moto3,17,7,10,11,3,260,1,1
1,Jorge Martin,Moto2,2019,Spain,KTM,Red Bull KTM Ajo,19,0,2,0,1,94,11,0
1,Jorge Martin,Moto2,2020,Spain,Kalex,Red Bull KTM Ajo,13,2,6,1,2,160,5,0
1,Jorge Martin,MotoGP,2021,Spain,Ducati,Pramac Racing,14,1,4,4,0,111,9,0
1,Jorge Martin,MotoGP,2022,Spain,Ducati,Pramac Racing,20,0,4,5,2,152,9,0
1,Jorge Martin,MotoGP,2023,Spain,Ducati,Prima Pramac Racing,20,4,8,4,2,428,2,0
1,Jorge Martin,MotoGP,2024,Spain,Ducati,Prima Pramac Racing,20,3,16,7,2,508,1,1
1,Jorge Martin,MotoGP,2025,Spain,Aprilia,Aprilia Racing,0,0,0,0,0,0,0,0
5,Johann Zarco,125cc,2009,France,Aprilia,WTR San Marino Team,16,0,0,0,0,32,20,0
5,Johann Zarco,125cc,2010,France,Aprilia,WTR San Marino Team,17,0,0,0,1,77,11,0
5,Johann Zarco,125cc,2011,France,Derbi,Avant-AirAsia-Ajo,17,1,11,4,4,262,2,0
5,Johann Zarco,Moto2,2012,France,Motobi,JiR Moto2,17,0,0,0,0,95,10,0
5,Johann Zarco,Moto2,2013,France,Suter,Came IodaRacing Project,17,0,2,0,2,141,9,0
5,Johann Zarco,Moto2,2014,France,Caterham Suter,AirAsia Caterham,18,0,4,1,0,146,6,0
5,Johann Zarco,Moto2,2015,France,Kalex,Ajo Motorsport,18,8,14,7,1,352,1,1
5,Johann Zarco,Moto2,2016,France,Kalex,Ajo Motorsport,18,7,10,7,4,276,1,1
5,Johann Zarco,MotoGP,2017,France,Yamaha,Monster Yamaha Tech3,18,0,3,2,4,174,6,0
5,Johann Zarco,MotoGP,2018,France,Yamaha,Monster Yamaha Tech3,18,0,3,2,0,158,6,0
5,Johann Zarco,MotoGP,2019,France,KTM,Red Bull KTM Factory Racing,13,0,0,0,0,27,18,0
5,Johann Zarco,MotoGP,2019,France,Honda,LCR Honda Idemitsu,3,0,0,0,0,3,18,0
5,Johann Zarco,MotoGP,2020,France,Ducati,Avintia Esponsorama Racing,14,0,1,1,1,77,13,0
5,Johann Zarco,MotoGP,2021,France,Ducati,Pramac Racing,18,0,4,1,2,173,5,0
5,Johann Zarco,MotoGP,2022,France,Ducati,Pramac Racing,20,0,4,2,2,166,8,0
5,Johann Zarco,MotoGP,2023,France,Ducati,Prima Pramac Racing,20,1,6,0,2,225,5,0
5,Johann Zarco,MotoGP,2024,France,Honda,Castrol Honda LCR,20,0,0,0,0,55,17,0
5,Johann Zarco,MotoGP,2025,France,Honda,Castrol Honda LCR,1,0,0,0,0,9,8,0
10,Luca Marini,Moto3,2013,Italy,FTR Honda,Twelve Racing,1,0,0,0,0,0,0,0
10,Luca Marini,Moto2,2015,Italy,Kalex,Pons Racing Junior Team,1,0,0,0,0,0,0,0
10,Luca Marini,Moto2,2016,Italy,Kalex,Forward Racing Team,18,0,0,0,1,34,23,0
